"","pub_date","title","venue","excerpt","citation","url_slug","paper_url","raw"
"1","2021","U-Net convolutional neural network models for detecting and quantifying placer mining disturbances at watershed scales.","International Journal of Applied Earth Observation and Geoinformation.","","Malik, K., Robertson, C., Braun, D., and Greig, C. 2021. U-Net convolutional neural network models for detecting and quantifying placer mining disturbances at watershed scales. International Journal of Applied Earth Observation and Geoinformation. 15:4.","","https://doi.org/10.1016/j.jag.2021.102510","Malik, K., Robertson, C., Braun, D., and Greig, C. 2021. U-Net convolutional neural network models for detecting and quantifying placer mining disturbances at watershed scales. International Journal of Applied Earth Observation and Geoinformation. 15:4. https://doi.org/10.1016/j.jag.2021.102510"
"2","2021","Spatial assessment of albatrosses, commercial fisheries, and bycatch incidents on Canada’s Pacific coast.","Marine Ecology Progress Series.","","Cox, C., Robertson, C., O’Hara, P.D., Tadey, R., and Morgan, K. 2021. Spatial assessment of albatrosses, commercial fisheries, and bycatch incidents on Canada’s Pacific coast. Marine Ecology Progress Series. 672:205-222.","","https://doi.org/10.3354/meps13783.","Cox, C., Robertson, C., O’Hara, P.D., Tadey, R., and Morgan, K. 2021. Spatial assessment of albatrosses, commercial fisheries, and bycatch incidents on Canada’s Pacific coast. Marine Ecology Progress Series. 672:205-222. https://doi.org/10.3354/meps13783."
"3","2021","InundatEd-v1 0: a height above nearest drainage (HAND)-based flood risk modeling system using a discrete global grid system.","Geoscientific Model Development.","","Chaudhuri, C., Gray, A., and Robertson, C. 2021. InundatEd-v1 0: a height above nearest drainage (HAND)-based flood risk modeling system using a discrete global grid system. Geoscientific Model Development. 14, 3295–3315.","","https://doi.org/10.5194/gmd-14-3295-2021.","Chaudhuri, C., Gray, A., and Robertson, C. 2021. InundatEd-v1 0: a height above nearest drainage (HAND)-based flood risk modeling system using a discrete global grid system. Geoscientific Model Development. 14, 3295–3315. https://doi.org/10.5194/gmd-14-3295-2021."
"4","2021","Decentralized geoprivacy: leveraging social trust on the distributed web.","International Journal of Geographic Information Science.","","Hojati, M., Farmer, C., Feick, R., and Robertson, C. 2021. Decentralized geoprivacy: leveraging social trust on the distributed web. International Journal of Geographic Information Science. In Press.","","https://doi.org/10.1080/13658816.2021.1931236.","Hojati, M., Farmer, C., Feick, R., and Robertson, C. 2021. Decentralized geoprivacy: leveraging social trust on the distributed web. International Journal of Geographic Information Science. In Press. https://doi.org/10.1080/13658816.2021.1931236."
"5","2021","CWDAT – An Open-Source Tool for the Visualization and Analysis of Community-Generated Water Quality Data.","ISPRS International Journal of Geo-Information.","","Gray, A., Robertson, C., and Feick, R. 2021. CWDAT – An Open-Source Tool for the Visualization and Analysis of Community-Generated Water Quality Data. ISPRS International Journal of Geo-Information. 10(4): 207","","https://doi.org/10.3390/ijgi10040207.","Gray, A., Robertson, C., and Feick, R. 2021. CWDAT – An Open-Source Tool for the Visualization and Analysis of Community-Generated Water Quality Data. ISPRS International Journal of Geo-Information. 10(4): 207 https://doi.org/10.3390/ijgi10040207."
"6","2021","Population responses to the 1976 South Dakota drought: Insights for wider drought migration research.","Population, space, and health.","","McLeman, R., Fontanella, F.,  Greig, C., Heath, G. and Robertson, C. 2021. Population responses to the 1976 South Dakota drought: Insights for wider drought migration research. Population, space, and health. In Press.","","https://doi.org/10.1002/psp.2465","McLeman, R., Fontanella, F.,  Greig, C., Heath, G. and Robertson, C. 2021. Population responses to the 1976 South Dakota drought: Insights for wider drought migration research. Population, space, and health. In Press. https://doi.org/10.1002/psp.2465"
"7","2021","Landscape Similarity Analysis Using Texture Encoded Deep-Learning Features on Unclassified Remote Sensing Imagery.","Remote Sensing.","","Malik, K., and Robertson, C. 2021. Landscape Similarity Analysis Using Texture Encoded Deep-Learning Features on Unclassified Remote Sensing Imagery. Remote Sensing. 13(3), 492","","https://doi.org/10.3390/rs13030492","Malik, K., and Robertson, C. 2021. Landscape Similarity Analysis Using Texture Encoded Deep-Learning Features on Unclassified Remote Sensing Imagery. Remote Sensing. 13(3), 492 https://doi.org/10.3390/rs13030492"
"8","2020","CliGAN: A Structurally Sensitive Convolutional Neural Network Model for Statistical Downscaling of Precipitation from Multi-Model Ensembles.","Water.","","Chaudhuri, C., and Robertson, C. 2020. CliGAN: A Structurally Sensitive Convolutional Neural Network Model for Statistical Downscaling of Precipitation from Multi-Model Ensembles. Water. 12(12), 3353;","","https://doi.org/10.3390/w12123353","Chaudhuri, C., and Robertson, C. 2020. CliGAN: A Structurally Sensitive Convolutional Neural Network Model for Statistical Downscaling of Precipitation from Multi-Model Ensembles. Water. 12(12), 3353; https://doi.org/10.3390/w12123353"
"9","2020","Mapping Rocky Mountain ridged mussel beds with preliminary identification of overlapping Eurasian watermilfoil within the Canadian range.","Nature Conservation.","","Wade, J., Stephen, C., and Robertson, C. 2020. Mapping Rocky Mountain ridged mussel beds with preliminary identification of overlapping Eurasian watermilfoil within the Canadian range. Nature Conservation. 42: 19-31.","","https://doi.org/10.3897/natureconservation.42.51081","Wade, J., Stephen, C., and Robertson, C. 2020. Mapping Rocky Mountain ridged mussel beds with preliminary identification of overlapping Eurasian watermilfoil within the Canadian range. Nature Conservation. 42: 19-31. https://doi.org/10.3897/natureconservation.42.51081"
"10","2020","Causes of Mortality in Bald Eagles (Haliaeetus leucocephalus) in the Canadian Maritime Provinces, 1991-2016.","Canadian Wildlife Biology & Management.","","Mathieu, A., Parmley, J.E. , McBurney, S., Robertson, C., Van Doninck, H., and Daoust, P-Y. 2020. Causes of Mortality in Bald Eagles (Haliaeetus leucocephalus) in the Canadian Maritime Provinces, 1991-2016. Canadian Wildlife Biology & Management. 9(2)","","https://cwbm.ca/causes-of-mortality-in-bald-eagles-haliaeetus-leucocephalus-in-the-canadian-maritime-provinces-1991-2016/","Mathieu, A., Parmley, J.E. , McBurney, S., Robertson, C., Van Doninck, H., and Daoust, P-Y. 2020. Causes of Mortality in Bald Eagles (Haliaeetus leucocephalus) in the Canadian Maritime Provinces, 1991-2016. Canadian Wildlife Biology & Management. 9(2) https://cwbm.ca/causes-of-mortality-in-bald-eagles-haliaeetus-leucocephalus-in-the-canadian-maritime-provinces-1991-2016/"
