pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021-06-06	U-Net convolutional neural network models for detecting and quantifying placer mining disturbances at watershed scales.	International Journal of Applied Earth Observation and Geoinformation.		Malik et al. 2021	Malik-2021	https://doi.org/10.1016/j.jag.2021.102510
2021-06-06	"Spatial assessment of albatrosses, commercial fisheries, and bycatch incidents on Canada’s Pacific coast."	Marine Ecology Progress Series.		Cox et al. 2021	Cox-2021	https://doi.org/10.3354/meps13783
2021-06-06	InundatEd-v1 0: a height above nearest drainage (HAND)-based flood risk modeling system using a discrete global grid system.	Geoscientific Model Development.		Chaudhuri and Robertson 2021	Chaudhuri-2021	https://doi.org/10.5194/gmd-14-3295-2021
2021-06-06	Decentralized geoprivacy: leveraging social trust on the distributed web.	International Journal of Geographic Information Science.		Hojati et al. 2021	Hojati-2021	https://doi.org/10.1080/13658816.2021.1931236
2021-06-06	CWDAT: An Open-Source Tool for the Visualization and Analysis of Community-Generated Water Quality Data.	ISPRS International Journal of Geo-Information.		Gray et al. 2021	Gray-2021	https://doi.org/10.3390/ijgi10040207
2021-06-06	Population responses to the 1976 South Dakota drought: Insights for wider drought migration research.	"Population, space, and health."		McLeman et al. 2021	McLeman-2021	https://doi.org/10.1002/psp.2465
2021-06-06	Landscape Similarity Analysis Using Texture Encoded Deep-Learning Features on Unclassified Remote Sensing Imagery.	Remote Sensing.		Malik and Robertson 2021	Malik-2021	https://doi.org/10.3390/rs13030492
2020-06-06	CliGAN: A Structurally Sensitive Convolutional Neural Network Model for Statistical Downscaling of Precipitation from Multi-Model Ensembles.	Water.		Chaudhuri and Robertson 2020	Chaudhuri-2020	https://doi.org/10.3390/w12123353
2020-06-06	Mapping Rocky Mountain ridged mussel beds with preliminary identification of overlapping Eurasian watermilfoil within the Canadian range.	Nature Conservation.		Wade et al. 2020	Wade-2020	https://doi.org/10.3897/natureconservation.42.51081
2020-06-06	"Causes of Mortality in Bald Eagles (Haliaeetus leucocephalus) in the Canadian Maritime Provinces, 1991-2016."	Canadian Wildlife Biology and Management.		Mathieu et al. 2020	Mathieu-2020	https://cwbm.ca/causes-of-mortality-in-bald-eagles-haliaeetus-leucocephalus-in-the-canadian-maritime-provinces-1991-2016/
2020-06-06	The spatial-comprehensiveness (S-COM) Index: Identifying optimal spatial extents in user generated content.	ISPRS International Journal of Geo-Information.		Lawrence et al. 2020	Lawrence-2020	https://doi.org/10.3390/ijgi9090497
2020-06-06	Traversing the EcoHealthScape: The final frontier in understanding shared determinants of health at the animal-society interface.	Book Chapter		Robertson 2020	Robertson-2020	https://www.taylorfrancis.com/chapters/edit/10.1201/9780429320873-8/traversing-eco-healthscape-final-frontier-understanding-shared-determinants-health-animal-society-interface-colin-robertson
2020-06-06	Integrating cellular automata and discrete global grid systems: a case study into wildfire modelling.	AGILE GIScience Ser.		Hojati and Robertson 2020	Hojati-2020	https://agile-giss.copernicus.org/articles/1/6/2020/
